sample,R,H,v0,th(rad),det(Jy),invertible,cond(Jy),||Jy^{-1}||_2,||-Jy^{-1}Jx||_2
142,258.7625028086827,131.29332171677336,56.580455023624054,1.112991007308879,1.0,True,1.0,1.0,418.256703599327
143,88.62584547783034,8.258988068004918,36.44504288068414,0.3568032312893922,1.0,True,1.0,1.0,209.5185010759791
144,78.77742510349243,9.888309428609213,31.04191705813246,0.46531699772644847,1.0,True,1.0,1.0,123.88203778884888
145,32.90208910267495,15.33563381576387,19.683661470054147,1.0784804100343077,1.0,True,1.0,1.0,46.760683737623744
146,12.53739109528633,27.157385235206448,23.23629485384037,1.4558905298224998,1.0,True,1.0,1.0,107.36983140912601
147,109.78589038912938,37.67093837407005,33.63698213593457,0.9411424181052156,1.0,True,1.0,1.0,89.58483796186198
148,27.780741426751305,1.1447901539297605,29.14013031677757,0.16336325779748712,1.0,True,1.0,1.0,164.55874676384082
149,3.70001096142227,1.2875012181075176,6.188664393418174,0.9477961213845298,1.0,True,1.0,1.0,3.1936332846145037
150,74.87386858049238,2.7601117248989415,50.44605583068968,0.14639898780848473,1.0,True,1.0,1.0,498.1551415585274
151,143.5247569073472,141.09317358359792,54.28884245118717,1.3217667610587895,1.0,True,1.0,1.0,532.7480539499887
152,13.734669462712453,6.394718357588637,12.713699894923593,1.078024652652585,1.0,True,1.0,1.0,19.52803352032006
153,78.43721756785563,6.6947399490457595,35.47198789464772,0.32899853835649784,1.0,True,1.0,1.0,206.76987053540086
154,5.122807125137972,0.2801205643843904,10.971665762449394,0.21533314618956859,1.0,True,1.0,1.0,22.46683899853572
155,113.90541866850258,10.186288281923677,41.97320511718964,0.3435271930619494,1.0,True,1.0,1.0,283.5160097223954
156,9.748502270037143,21.070464215220554,20.467858111145457,1.4556425459800615,1.0,True,1.0,1.0,83.30116824441619
157,172.44420617265828,38.39010416667756,41.2682449080546,0.7275379050766086,1.0,True,1.0,1.0,95.22988172246836
158,144.70552861385707,88.32336432132968,44.98470378577854,1.182049994657088,1.0,True,1.0,1.0,302.8414283911744
159,211.4967676284198,78.13205851069505,47.275612055471136,0.9758601391548506,1.0,True,1.0,1.0,199.78494336749282
